split,model,rmse,mae,pred_mean
validation,mf_score,0.7578,0.4734,4.4942
validation,content_rating_score,0.9773,0.7976,4.2386
validation,hybrid_score,0.7774,0.5607,4.4175
validation,bnn_mc_mean,0.733,0.4356,4.522
test,mf_score,0.7807,0.4912,4.4788
test,content_rating_score,1.0069,0.8139,4.2375
test,hybrid_score,0.804,0.577,4.4064
test,bnn_mc_mean,0.7793,0.4687,4.5007
