epoch,train_loss,train_rmse,train_mae,val_rmse,val_mae,val_pred_mean
1,0.7931338170596531,0.7677640034657135,0.4852215051651001,0.7536662218718782,0.46417170763015747,4.510457515716553
2,0.6008992288793836,0.754840449912474,0.4869309067726135,0.7479275042953819,0.46991729736328125,4.466273784637451
3,0.5864412401403699,0.7454927830209259,0.46513378620147705,0.7418544624397514,0.4503627419471741,4.530996799468994
4,0.5734569568293435,0.7395328629873269,0.45838749408721924,0.7383031286802398,0.4458952844142914,4.526684284210205
5,0.565224300112043,0.7325776201596086,0.45491984486579895,0.7365612197366366,0.44518810510635376,4.528774261474609
6,0.5582836970261165,0.7343742289437649,0.4731246829032898,0.7512399834014296,0.4684546887874603,4.43808650970459
7,0.5516144752502441,0.7249833861453431,0.44417184591293335,0.7426724104644905,0.43960681557655334,4.508084774017334
8,0.5424502149650029,0.7181672760925516,0.4433189928531647,0.7401324682620768,0.44368264079093933,4.507435321807861
9,0.538749418599265,0.7187172011479778,0.4456477761268616,0.746296161137644,0.4475497901439667,4.474781036376953
10,0.5303346017428807,0.7137036847321301,0.43245217204093933,0.7390766602141549,0.4335503876209259,4.543703556060791
11,0.5264438499723162,0.7154001040828929,0.4335273504257202,0.7378958044077338,0.4332268536090851,4.552892684936523
12,0.525170498916081,0.7031525076677599,0.4326741695404053,0.7349548891068514,0.4378584623336792,4.521784782409668
13,0.5157873673098428,0.7032801774768326,0.41563254594802856,0.7396014887412579,0.42239463329315186,4.568721294403076
14,0.5129175119740622,0.6907082391003095,0.4248332381248474,0.7352488979291131,0.43746417760849,4.518590450286865
15,0.5090258037192481,0.6916418159187635,0.4207572042942047,0.733698878611352,0.4306102693080902,4.5346550941467285
16,0.5050457562719073,0.6850540693899065,0.41288474202156067,0.7384578755942004,0.42789703607559204,4.531753063201904
17,0.5032260576316289,0.6818399438491735,0.41885876655578613,0.7407981316091816,0.4377974569797516,4.5033087730407715
18,0.49847935404096333,0.6774926537822791,0.4118695557117462,0.7363852724114182,0.4301365911960602,4.516881942749023
19,0.49078832038811276,0.6758013375003469,0.4113534986972809,0.7357313738120157,0.43144121766090393,4.540807723999023
20,0.4914380248955318,0.6706355661304639,0.3941181004047394,0.7456909610321704,0.42016100883483887,4.5496344566345215
21,0.4828907973425729,0.6700552982668814,0.39268243312835693,0.7457754844380323,0.4194589853286743,4.562898635864258
22,0.4785706296137401,0.6599698452490896,0.4050194025039673,0.7503181815736615,0.4392317235469818,4.493445873260498
23,0.47302954827036175,0.656840195246431,0.39443257451057434,0.7490547104017903,0.42913639545440674,4.540361404418945
24,0.4685498321056366,0.6533399958132965,0.3942025899887085,0.7493681232687278,0.4301692247390747,4.5105814933776855
25,0.4644946416786739,0.662235506809982,0.38530224561691284,0.7480096235038696,0.4172171652317047,4.584285736083984
26,0.4629761028289795,0.646616181827269,0.3957911729812622,0.7454359340221095,0.4358436167240143,4.516413688659668
27,0.45973520866462164,0.6419154637479928,0.38613539934158325,0.7457788012368668,0.4276811182498932,4.531467914581299
28,0.45404790588787625,0.6418341646140372,0.3832501769065857,0.7518116607369576,0.4268595576286316,4.528242588043213
29,0.45157761999538965,0.6355236046862007,0.3857675790786743,0.7511265955790756,0.4323424696922302,4.519579887390137
30,0.45082541601998466,0.6357542350318969,0.3872148096561432,0.747422876876713,0.4326041042804718,4.507102012634277
31,0.4457701382466725,0.6346418289363618,0.3761519491672516,0.753346526936251,0.42459845542907715,4.555967807769775
32,0.4422365232876369,0.6293304387050603,0.3835734724998474,0.7541501140007384,0.4356996715068817,4.512538909912109
33,0.44005075812339783,0.626107736254708,0.3761225640773773,0.7534636942844269,0.428757905960083,4.5212883949279785
34,0.4398257509299687,0.6239728593701005,0.37244847416877747,0.7581592435092539,0.4290252923965454,4.528335094451904
35,0.4286073976755142,0.6229686628178482,0.37029165029525757,0.7565765527036991,0.42722734808921814,4.537704944610596
36,0.4283511581591197,0.6319979617638254,0.36746829748153687,0.7518980328083242,0.41654813289642334,4.5804033279418945
37,0.4309064240966524,0.6258015499560898,0.3795897364616394,0.7501620673868007,0.4317844808101654,4.543128490447998
38,0.42765256958348413,0.6177789775299678,0.35845276713371277,0.758555922660213,0.41673773527145386,4.562648296356201
39,0.42640064324651444,0.6145987481808041,0.3650437295436859,0.7545220819683722,0.4250752925872803,4.519958972930908
40,0.42448881362165725,0.6155860259213793,0.36376091837882996,0.7573497185020355,0.4215422570705414,4.540624618530273
41,0.4152414166075843,0.6156975350031192,0.36972692608833313,0.7583043969750404,0.43167486786842346,4.54817008972168
42,0.41924577713012695,0.6096050855110959,0.369824081659317,0.7596809320389518,0.4350952208042145,4.527670860290527
43,0.4174083776984896,0.6094288435403248,0.36567679047584534,0.7528127537430415,0.42638641595840454,4.5422492027282715
44,0.4160722214835031,0.6002052403133856,0.3581008315086365,0.7569592578461145,0.42558130621910095,4.530247688293457
45,0.4132493133204324,0.6112228156599693,0.3642502725124359,0.758642587553099,0.4269852638244629,4.5609540939331055
