run_id,source_split,model,rmse,mae,rows
v002,test,legacy_biased_mf,0.8293161376284509,0.5357732823135166,27822
v002,test,item_knn,0.8783857537877036,0.46206804555734565,27822
v002,test,metadata_content,0.8234079633551689,0.5089675362109995,27822
v002,test,ridge_ensemble,0.7806867907341931,0.49122524774066767,27822
v002,test,gradient_boosting_ensemble,0.7887571378122707,0.509059227563911,27822
v002,test,random_forest_ensemble,0.7806449347760669,0.495846889113453,27822
v002,validation,legacy_biased_mf,0.8263420952298615,0.5390701779960817,27818
v002,validation,item_knn,0.8801866614651644,0.4639722739120565,27818
v002,validation,metadata_content,0.8216323849480622,0.510059881076778,27818
v002,validation,ridge_ensemble,0.7765058107380459,0.4912955845505647,27818
v002,validation,gradient_boosting_ensemble,0.7809254116731789,0.506796753215821,27818
v002,validation,random_forest_ensemble,0.7619388099886474,0.48714186107274077,27818
