split,rows,mean_uncertainty,raw_interval_coverage,calibrated_interval_coverage,mean_raw_interval_width,mean_calibrated_interval_width,uncertainty_abs_error_corr
validation,1061,0.0956,0.0575,0.95,0.3561,1.871,0.3823
test,1046,0.0928,0.0478,0.9465,0.3465,1.8353,0.3949
